name,hidden,n_layers,lr,batch_size,best_epoch,epochs_run,train_loss,train_seconds,val_loss,val_mean_pnl,val_std_pnl,premium
small_batch,64,3,0.001,512,116,120,1.4525673520893179e-05,255.38823556900024,1.3349915207072627e-05,1.8623873984324746e-05,0.003654315136373043,0.03987811878323555
higher_lr,64,3,0.003,2048,120,120,1.7780511370801833e-05,152.99169993400574,1.6715915990062058e-05,7.5355519584263675e-06,0.004089184571057558,0.039881665259599686
wider,128,3,0.001,2048,120,120,2.088891233142931e-05,394.4610970020294,1.960605186468456e-05,-2.7964286346104927e-05,0.004428522195667028,0.03984122350811958
deeper,64,4,0.001,2048,120,120,2.5884956357913325e-05,195.19500422477722,2.4586290237493813e-05,-7.604645361425355e-05,0.004958699457347393,0.03980353847146034
baseline,64,3,0.001,2048,120,120,4.681831615016563e-05,153.26887822151184,4.524834002950229e-05,-9.075536218006164e-05,0.006727197673171759,0.03972480073571205
large_batch,64,3,0.001,4096,120,120,0.0006214369786903262,151.00773763656616,0.0006235468899831176,-0.00047425914090126753,0.024970578029751778,0.039474766701459885
shallower,64,2,0.001,2048,120,120,0.0006220187497092411,105.33454132080078,0.0006275417981669307,-0.0004927896661683917,0.02505011297762394,0.03946693241596222
narrower,32,3,0.001,2048,120,120,0.0007016963354544714,91.50212788581848,0.0007057844777591527,-0.0005470931064337492,0.026565397158265114,0.039458706974983215
lower_lr,64,3,0.0003,2048,120,120,0.0007589453598484397,150.62426710128784,0.0007675427477806807,-0.0021817979868501425,0.027623122557997704,0.037826765328645706
